ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
0,Jerry Rice,SFO,34,WR,1996,16,16,153,108,70.60%,1254,11.6,8,72,62.1,39,8.2,6.8,78.4,0,RiceJe00
1,Herman Moore,DET,27,WR,1996,16,16,178,106,59.60%,1296,12.2,9,70,52.2,50,7.3,6.6,81,0,MoorHe00
2,Carl Pickens,CIN,26,WR,1996,16,16,174,100,57.50%,1180,11.8,12,63,51.7,61,6.8,6.3,73.8,0,PickCa00
3,Cris Carter,MIN,31,WR,1996,16,16,167,96,57.50%,1163,12.1,10,57,51.5,43,7,6,72.7,1,CartCr00
4,Brett Perriman,DET,31,WR,1996,16,16,170,94,55.30%,1021,10.9,5,59,45.9,44,6,5.9,63.8,0,PerrBr00
5,Tim Brown,OAK,30,WR,1996,16,16,146,90,61.60%,1104,12.3,9,53,52.1,42,7.6,5.6,69,3,BrowTi00
6,Terry Glenn,NWE,22,WR,1996,15,15,167,90,53.90%,1132,12.6,6,55,44.3,37,6.8,6,75.5,1,GlenTe00
7,Irving Fryar,PHI,34,WR,1996,16,16,152,88,57.90%,1195,13.6,11,66,54.6,42,7.9,5.5,74.7,0,FryaIr00
8,Tony Martin,SDG,31,WR,1996,16,16,167,85,50.90%,1171,13.8,14,60,43.1,55,7,5.3,73.2,0,MartTo00
9,Keenan McCardell,JAX,26,WR,1996,16,15,127,85,66.90%,1129,13.3,3,57,59.1,52,8.9,5.3,70.6,1,McCaKe00
10,Isaac Bruce,STL,24,WR,1996,16,16,150,84,56.00%,1338,15.9,7,60,51.3,70,8.9,5.3,83.6,1,BrucIs00
11,Wayne Chrebet,NYJ,23,WR,1996,16,9,128,84,65.60%,909,10.8,3,47,54.7,44,7.1,5.3,56.8,5,ChreWa00
12,Jimmy Smith,JAX,27,WR,1996,16,9,128,83,64.80%,1244,15,7,59,60.9,62,9.7,5.2,77.8,1,SmitJi00
13,Curtis Conway,CHI,25,WR,1996,16,16,143,81,56.60%,1049,13,7,51,51.7,58,7.3,5.1,65.6,1,ConwCu00
14,Michael Jackson,BAL,27,WR,1996,16,16,150,76,50.70%,1201,15.8,14,56,44.7,86,8,4.8,75.1,0,JackMi00
15,Bert Emanuel,ATL,26,WR,1996,14,13,123,75,61.00%,921,12.3,6,47,48,53,7.5,5.4,65.8,0,EmanBe00
16,O.J. McDuffie,MIA,27,WR,1996,16,16,119,74,62.20%,918,12.4,8,0,0,36,7.7,4.6,57.4,6,McDuO.00
17,Andre Hastings,PIT,26,WR,1996,16,10,115,72,62.60%,739,10.3,6,41,49.6,38,6.4,4.5,46.2,3,HastAn00
18,Jake Reed,MIN,29,WR,1996,16,15,126,72,57.10%,1320,18.3,7,55,52.4,82,10.5,4.5,82.5,0,ReedJa00
19,Chris Jones,PHI,25,WR,1996,16,16,114,70,61.40%,859,12.3,5,0,0,38,7.5,4.4,53.7,1,JoneCh01
20,Terance Mathis,ATL,29,WR,1996,16,16,114,69,60.50%,771,11.2,7,45,50,55,6.8,4.3,48.2,0,MathTe00
21,Frank Sanders,ARI,23,WR,1996,16,16,130,69,53.10%,813,11.8,4,47,47.7,34,6.3,4.3,50.8,1,SandFr00
22,Andre Reed,BUF,32,WR,1996,16,16,101,66,65.30%,1036,15.7,6,42,56.4,67,10.3,4.1,64.8,1,ReedAn00
23,Marvin Harrison,IND,24,WR,1996,16,15,118,64,54.20%,836,13.1,8,43,48.3,41,7.1,4,52.3,1,HarrMa00
24,Michael Irvin,DAL,30,WR,1996,11,11,105,64,61.00%,962,15,2,45,56.2,61,9.2,5.8,87.5,1,IrviMi00
25,Keyshawn Johnson,NYJ,24,WR,1996,14,11,125,63,50.40%,844,13.4,8,41,43.2,50,6.8,4.5,60.3,0,JohnKe00
26,Derrick Alexander,BAL,25,WR,1996,15,14,107,62,57.90%,1099,17.7,9,48,47.7,64,10.3,4.1,73.3,0,AlexDe00
27,Michael Timpson,CHI,29,WR,1996,15,15,109,62,56.90%,802,12.9,0,45,49.5,49,7.4,4.1,53.5,2,TimpMi00
28,Charles Johnson,PIT,24,WR,1996,16,12,101,60,59.40%,1008,16.8,3,44,54.5,70,10,3.8,63,1,JohnCh00
29,Mark Carrier,CAR,31,WR,1996,16,15,104,58,55.80%,808,13.9,6,38,51.9,39,7.8,3.6,50.5,0,CarrMa00
30,Rob Moore,ARI,28,WR,1996,16,16,146,58,39.70%,1016,17.5,4,45,37,69,7,3.6,63.5,0,MoorRo00
31,Darnay Scott,CIN,24,WR,1996,16,16,115,58,50.40%,833,14.4,5,40,47.8,50,7.2,3.6,52.1,0,ScotDa00
32,Joey Galloway,SEA,25,WR,1996,16,16,121,57,47.10%,987,17.3,7,40,43,65,8.2,3.6,61.7,2,GallJo00
33,Antonio Freeman,GNB,24,WR,1996,12,12,107,56,52.30%,933,16.7,9,46,47.7,51,8.7,4.7,77.8,3,FreeAn00
34,Anthony Miller,DEN,31,WR,1996,16,16,110,56,50.90%,735,13.1,3,30,40,46,6.7,3.5,45.9,0,MillAn00
35,Johnnie Morton,DET,25,WR,1996,16,15,97,55,56.70%,714,13,6,30,39.2,62,7.4,3.4,44.6,1,MortJo00
36,Sean Dawkins,IND,25,WR,1996,15,14,91,54,59.30%,751,13.9,1,38,56,42,8.3,3.6,50.1,1,DawkSe00
37,Eddie Kennison,STL,23,WR,1996,15,14,115,54,47.00%,924,17.1,9,32,40,77,8,3.6,61.6,5,KennEd00
38,Eric Metcalf,ATL,28,WR,1996,16,11,90,54,60.00%,599,11.1,6,33,54.4,67,6.7,3.4,37.4,3,MetcEr00
39,Chris Calloway,NYG,28,WR,1996,16,15,109,53,48.60%,739,13.9,4,40,43.1,36,6.8,3.3,46.2,1,CallCh00
40,Thomas Lewis,NYG,24,WR,1996,13,11,98,53,54.10%,694,13.1,4,38,49,34,7.1,4.1,53.4,0,LewiTh00
41,Henry Ellard,WAS,35,WR,1996,16,16,98,52,53.10%,1014,19.5,2,49,51,51,10.3,3.3,63.4,0,EllaHe00
42,Quinn Early,BUF,31,WR,1996,16,13,91,50,54.90%,798,16,4,35,46.2,95,8.8,3.1,49.9,0,EarlQu00
43,Jeff Graham,NYJ,27,WR,1996,11,9,85,50,58.80%,788,15.8,6,37,50.6,78,9.3,4.5,71.6,0,GrahJe00
44,Shawn Jefferson,NWE,27,WR,1996,15,15,92,50,54.30%,771,15.4,4,39,52.2,42,8.4,3.3,51.4,2,JeffSh00
45,Torrance Small,NOR,26,WR,1996,16,13,89,50,56.20%,558,11.2,2,27,43.8,41,6.3,3.1,34.9,1,SmalTo00
46,Chris Penn,KAN,25,WR,1996,16,16,90,49,54.40%,628,12.8,5,37,47.8,22,7,3.1,39.3,3,PennCh00
47,Ed McCaffrey,DEN,28,WR,1996,15,15,76,48,63.20%,553,11.5,7,31,46.1,39,7.3,3.2,36.9,0,McCaEd00
48,Chris Sanders,HOU,24,WR,1996,16,15,105,48,45.70%,882,18.4,4,35,41,83,8.4,3,55.1,0,SandCh00
49,Andre Rison,2TM,29,WR,1996,15,13,90,47,52.20%,593,12.6,3,0,0,61,6.6,3.1,39.5,1,RisoAn00
50,Willie Green,CAR,30,WR,1996,15,10,75,46,61.30%,614,13.3,3,33,56,50,8.2,3.1,40.9,0,GreeWi00
51,Courtney Hawkins,TAM,27,WR,1996,16,16,94,46,48.90%,544,11.8,1,31,41.5,45,5.8,2.9,34,1,HawkCo00
52,Michael Haynes,NOR,31,WR,1996,16,10,87,44,50.60%,786,17.9,4,35,50.6,51,9,2.8,49.1,1,HaynMi00
53,Daryl Hobbs,OAK,28,WR,1996,16,1,75,44,58.70%,423,9.6,3,27,50.7,29,5.6,2.8,26.4,4,HobbDa00
54,Brian Blades,SEA,31,WR,1996,11,9,70,43,61.40%,556,12.9,2,27,52.9,80,7.9,3.9,50.5,1,BladBr00
55,James Jett,OAK,26,WR,1996,16,16,84,43,51.20%,601,14,4,33,48.8,58,7.2,2.7,37.6,0,JettJa00
56,Charlie Jones,SDG,24,WR,1996,14,4,75,41,54.70%,524,12.8,4,24,44,63,7,2.9,37.4,0,JoneCh00
57,Don Beebe,GNB,32,WR,1996,16,6,76,39,51.30%,699,17.9,4,24,46.1,80,9.2,2.4,43.7,1,BeebDo00
58,Willie Davis,HOU,29,WR,1996,16,14,71,39,54.90%,464,11.9,6,20,46.5,49,6.5,2.4,29,1,DaviWi00
59,Floyd Turner,BAL,30,WR,1996,11,6,64,38,59.40%,461,12.1,2,25,42.2,27,7.2,3.5,41.9,0,TurnFl00
60,Fred Barnett,MIA,30,WR,1996,9,7,63,36,57.10%,562,15.6,3,22,42.9,66,8.9,4,62.4,1,BarnFr00
61,Andre Coleman,SDG,24,WR,1996,16,10,73,36,49.30%,486,13.5,2,21,45.2,50,6.7,2.3,30.4,4,ColeAn00
62,Deion Sanders,DAL,29,WR,1996,16,15,67,36,53.70%,475,13.2,1,24,49.3,41,7.1,2.3,29.7,2,SandDe00
63,Terrell Owens,SFO,23,WR,1996,16,10,58,35,60.30%,520,14.9,4,23,50,46,9,2.2,32.5,1,OwenTe00
64,Derek Russell,HOU,27,WR,1996,16,5,59,34,57.60%,421,12.4,2,22,52.5,29,7.1,2.1,26.3,0,RussDe00
65,Michael Westbrook,WAS,24,WR,1996,11,6,62,34,54.80%,505,14.9,1,25,51.6,45,8.1,3.1,45.9,0,WestMi00
66,Bobby Engram,CHI,23,WR,1996,16,2,62,33,53.20%,389,11.8,6,28,51.6,24,6.3,2.1,24.3,2,EngrBo00
67,Willie Jackson,JAX,25,WR,1996,16,2,42,33,78.60%,486,14.7,3,19,66.7,58,11.6,2.1,30.4,0,JackWi00
68,Robb Thomas,TAM,30,WR,1996,12,8,53,33,62.30%,427,12.9,2,21,54.7,31,8.1,2.8,35.6,0,ThomRo01
69,David Dunn,CIN,24,WR,1996,16,0,49,32,65.30%,509,15.9,1,23,55.1,40,10.4,2,31.8,1,DunnDa00
70,Webster Slaughter,NYJ,32,WR,1996,10,1,60,32,53.30%,434,13.6,2,20,46.7,53,7.2,3.2,43.4,0,SlauWe00
71,J.J. Birden,ATL,31,WR,1996,12,12,61,30,49.20%,319,10.6,2,0,0,57,5.2,2.5,26.6,2,BirdJJ00
72,Anthony Edwards,ARI,30,WR,1996,16,1,50,29,58.00%,311,10.7,1,19,46,31,6.2,1.8,19.4,1,EdwaAn00
73,Tyrone Brown,ATL,23,WR,1996,9,4,55,28,50.90%,325,11.6,1,13,41.8,38,5.9,3.1,36.1,0,BrowTy00
74,Sean LaChapelle,KAN,26,WR,1996,12,8,48,27,56.30%,422,15.6,2,21,54.2,69,8.8,2.3,35.2,0,LaChSe00
75,Kevin Williams,DAL,25,WR,1996,10,9,51,27,52.90%,323,12,1,19,49,31,6.3,2.7,32.3,0,WillKe00
76,Kelvin Martin,DAL,31,WR,1996,16,1,44,25,56.80%,380,15.2,1,21,56.8,60,8.6,1.6,23.8,1,MartKe00
77,Muhsin Muhammad,CAR,23,WR,1996,9,5,49,25,51.00%,407,16.3,1,14,44.9,54,8.3,2.8,45.2,0,MuhaMu00
78,Robert Brooks,GNB,26,WR,1996,7,7,41,23,56.10%,344,15,4,18,51.2,38,8.4,3.3,49.1,0,BrooRo00
79,Ricky Proehl,SEA,28,WR,1996,16,7,48,23,47.90%,309,13.4,2,14,35.4,56,6.4,1.4,19.3,0,ProeRi00
80,Leslie Shepherd,WAS,27,WR,1996,12,6,45,23,51.10%,344,15,3,18,46.7,52,7.6,1.9,28.7,0,ShepLe00
81,Qadry Ismail,MIN,26,WR,1996,16,2,44,22,50.00%,351,16,3,19,45.5,54,8,1.4,21.9,2,IsmaQa00
82,Karl Williams,TAM,25,WR,1996,16,0,45,22,48.90%,246,11.2,0,17,44.4,25,5.5,1.4,15.4,2,WillKa00
83,Troy Brown,NWE,25,WR,1996,16,0,27,21,77.80%,222,10.6,0,10,63,38,8.2,1.3,13.9,0,BrowTr00
84,Randal Hill,MIA,27,WR,1996,14,5,44,21,47.70%,409,19.5,4,14,43.2,61,9.3,1.5,29.2,1,HillRa00
85,Roell Preston,ATL,24,WR,1996,15,2,31,21,67.70%,208,9.9,1,12,58.1,17,6.7,1.4,13.9,0,PresRo00
86,Mike Pritchard,SEA,27,WR,1996,16,5,63,21,33.30%,328,15.6,1,14,28.6,44,5.2,1.3,20.5,0,PritMi00
87,Steve Tasker,BUF,34,WR,1996,8,5,33,21,63.60%,372,17.7,3,13,60.6,62,11.3,2.6,46.5,3,TaskSt00
88,Tamarick Vanover,KAN,22,WR,1996,13,6,45,21,46.70%,241,11.5,1,13,35.6,24,5.4,1.6,18.5,1,VanoTa00
89,Marcus Dowdell,ARI,26,WR,1996,15,0,41,20,48.80%,318,15.9,2,19,48.8,64,7.8,1.3,21.2,6,DowdMa00
90,Haywood Jeffires,NOR,32,WR,1996,9,1,31,20,64.50%,215,10.8,3,12,54.8,27,6.9,2.2,23.9,1,JeffHa00
91,Eric Moulds,BUF,23,WR,1996,16,5,37,20,54.10%,279,14,2,10,45.9,47,7.5,1.3,17.4,1,MoulEr00
92,Alvin Harper,TAM,28,WR,1996,12,7,46,19,41.30%,289,15.2,1,12,39.1,40,6.3,1.6,24.1,1,HarpAl00
93,Mark Seay,PHI,29,WR,1996,16,0,36,19,52.80%,260,13.7,0,11,47.2,35,7.2,1.2,16.3,2,SeayMa00
94,Aaron Bailey,IND,25,WR,1996,14,2,36,18,50.00%,302,16.8,0,11,38.9,40,8.4,1.3,21.6,3,BailAa00
95,Lawrence Dawsey,NYG,29,WR,1996,16,4,43,18,41.90%,233,12.9,0,11,39.5,28,5.4,1.1,14.6,0,DawsLa00
96,Terry Mickens,GNB,25,WR,1996,8,5,32,18,56.30%,161,8.9,2,9,53.1,19,5,2.3,20.1,1,MickTe00
97,Brian Stablein,IND,26,WR,1996,16,0,35,18,51.40%,192,10.7,1,11,42.9,30,5.5,1.1,12,0,StabBr00
98,J.J. Stokes,SFO,24,WR,1996,6,6,39,18,46.20%,249,13.8,0,0,0,40,6.4,3,41.5,0,StokJ.00
99,Bill Brooks,WAS,32,WR,1996,16,2,32,17,53.10%,224,13.2,0,14,46.9,31,7,1.1,14,0,BrooBi00
100,Danan Hughes,KAN,26,WR,1996,15,2,33,17,51.50%,167,9.8,1,11,45.5,26,5.1,1.1,11.1,0,HughDa00
101,Alex Van Dyke,NYJ,22,WR,1996,15,1,43,17,39.50%,118,6.9,1,7,30.2,12,2.7,1.1,7.9,0,VanDAl00
102,Mike Sherrard,DEN,33,WR,1996,15,0,28,16,57.10%,185,11.6,1,11,42.9,25,6.6,1.1,12.3,0,SherMi00
103,Rod Smith,DEN,26,WR,1996,10,1,28,16,57.10%,237,14.8,2,10,50,49,8.5,1.6,23.7,1,SmitRo01
104,Lee DeRamus,NOR,24,WR,1996,15,4,42,15,35.70%,182,12.1,1,7,28.6,28,4.3,1,12.1,0,DeRaLe00
105,Jermaine Ross,STL,25,WR,1996,15,0,28,15,53.60%,160,10.7,0,7,46.4,28,5.7,1,10.7,0,RossJe00
106,Calvin Williams,2TM,29,WR,1996,8,2,23,15,65.20%,93,6.2,1,0,0,19,4,1.9,11.6,0,WillCa00
107,Desmond Howard,GNB,26,WR,1996,16,0,23,13,56.50%,95,7.3,0,5,26.1,12,4.1,0.8,5.9,2,HowaDe00
108,Rocket Ismail,CAR,27,WR,1996,13,5,33,12,36.40%,214,17.8,0,0,0,51,6.5,0.9,16.5,0,IsmaRa00
109,Yancey Thigpen,PIT,27,WR,1996,6,2,25,12,48.00%,244,20.3,2,9,44,39,9.8,2,40.7,0,ThigYa00
110,Malcolm Floyd,HOU,24,WR,1996,16,0,22,10,45.50%,145,14.5,1,5,36.4,63,6.6,0.6,9.1,1,FloyMa01
111,Lamar Thomas,MIA,26,WR,1996,9,3,23,10,43.50%,166,16.6,1,7,39.1,34,7.2,1.1,18.4,0,ThomLa00
112,Scott Miller,MIA,28,WR,1996,12,1,16,9,56.30%,116,12.9,0,6,43.8,22,7.3,0.8,9.7,0,MillSc00
113,Freddie Solomon,PHI,24,WR,1996,12,0,16,8,50.00%,125,15.6,0,6,50,23,7.8,0.7,10.4,0,SoloFr00
114,Russell Copeland,BUF,25,WR,1996,11,0,19,7,36.80%,85,12.1,0,4,26.3,31,4.5,0.6,7.7,2,CopeRu00
115,Charles Jordan,MIA,27,WR,1996,6,0,13,7,53.80%,152,21.7,0,7,53.8,43,11.7,1.2,25.3,0,JordCh00
116,Ernie Mills,PIT,28,WR,1996,9,3,21,7,33.30%,92,13.1,1,4,23.8,22,4.4,0.8,10.2,0,MillEr00
117,Freddie Scott,ATL,22,WR,1996,10,0,10,7,70.00%,80,11.4,0,5,60,27,8,0.7,8,0,ScotFr00
118,J.T. Thomas,STL,25,WR,1996,16,1,22,7,31.80%,46,6.6,0,0,0,11,2.1,0.4,2.9,1,ThomJ.00
119,Iheanyi Uwaezuoke,SFO,23,WR,1996,14,0,13,7,53.80%,91,13,1,5,38.5,29,7,0.5,6.5,0,UwaeIh00
120,Jahine Arnold,PIT,23,WR,1996,9,0,17,6,35.30%,76,12.7,0,3,23.5,26,4.5,0.7,8.4,1,ArnoJa00
121,Derrick Mayes,GNB,22,WR,1996,7,0,9,6,66.70%,46,7.7,2,4,66.7,12,5.1,0.9,6.6,0,MayeDe00
122,David Palmer,MIN,24,WR,1996,11,1,11,6,54.50%,40,6.7,0,3,27.3,20,3.6,0.5,3.6,3,PalmDa00
123,Bryan Still,SDG,22,WR,1996,16,0,19,6,31.60%,142,23.7,0,3,31.6,56,7.5,0.4,8.9,2,StilBr00
124,Henry Bailey,NYJ,23,WR,1996,8,0,8,5,62.50%,65,13,0,2,37.5,28,8.1,0.6,8.1,0,BailHe00
125,Chris Brantley,BUF,26,WR,1996,10,0,8,5,62.50%,47,9.4,1,3,50,22,5.9,0.5,4.7,0,BranCh00
126,Lake Dawson,KAN,24,WR,1996,4,0,10,5,50.00%,83,16.6,1,5,50,25,8.3,1.3,20.8,0,DawsLa01
127,Hason Graham,NWE,25,WR,1996,9,0,11,5,45.50%,64,12.8,0,3,36.4,23,5.8,0.6,7.1,0,GrahHa00
128,Jermaine Lewis,BAL,22,WR,1996,16,1,12,5,41.70%,78,15.6,1,5,41.7,24,6.5,0.3,4.9,4,LewiJe00
