Player,totalYds,YPG,Height (in),Height %,Arm Length (in),Arm %,40 Yard,40%,3 Factors
Justin Jefferson,4825,96,73.25,1.008257031,33,1.034457073,4.43,0.985006347,3.027720451
Julio Jones,13629,87,74.75,1.028903932,33.75,1.057967461,4.34,0.964994931,3.051866325
Ja'Marr Chase,2501,86,72.38,0.996281828,30.75,0.963925909,4.34,0.964994931,2.925202668
Calvin Johnson,11619,86,77,1.059874285,36,1.128498625,4.38,0.973888894,3.162261804
Michael Thomas,6121,83,74.75,1.028903932,32.13,1.007185023,4.57,1.016135215,3.052224171
Antonio Brown,12291,80,70.13,0.965311475,31,0.971762705,4.56,1.013911725,2.950985905
Cooper Kupp,6329,79,73.75,1.015139331,31.5,0.987436297,4.62,1.027252669,3.029828297
Tyreek Hill,8340,77,68.13,0.937782273,30.5,0.956089113,4.29,0.953877478,2.847748864
Torry Holt,13382,77,72.3,0.99518066,30.25,0.948252317,4.44,0.987229837,2.930662814
DeAndre Hopkins,11298,77,73,1.004815881,33.38,1.046369003,4.57,1.016135215,3.067320099
Odell Beckham Jr.,7367,76,71.25,0.980727829,32.75,1.026620277,4.43,0.985006347,2.992354452
Mike Evans,10425,76,76.75,1.056433135,35.13,1.101226575,4.53,1.007241253,3.164900963
Marvin Harrison,14580,76,71.9,0.989674819,30.75,0.963925909,,1,2.953600728
Stefon Diggs,8812,74,72,0.991051279,31.25,0.979599501,4.46,0.991676819,2.962327599
A.J. Brown,4491,74,72.5,0.99793358,32.88,1.030695411,4.49,0.99834729,3.026976281
Keenan Allen,9287,73,74,1.018580482,32.75,1.026620277,,1,3.045200759
Andre Johnson,14185,73,74,1.018580482,34,1.065804257,4.4,0.978335875,3.062720614
Terrell Owens,15934,72,74.9,1.030968623,34.5,1.081477849,4.65,1.03392314,3.146369612
Davante Adams,9637,72,72.88,1.003164128,32.63,1.022858615,4.56,1.013911725,3.039934468
Jaylen Waddle,2371,71,69.5,0.956639777,30.375,0.952170715,,1,2.908810492
Randy Moss,15292,70,75.6,1.040603843,34,1.065804257,4.38,0.973888894,3.080296994
CeeDee Lamb,3396,69,73.63,1.013487579,32.25,1.010946685,4.5,1.000570781,3.025005045
Brandon Marshall,12351,69,76.5,1.052991984,32.63,1.022858615,4.54,1.009464744,3.085315343
Demaryius Thomas,9763,68,75.25,1.035786233,33,1.034457073,,1,3.070243306
Calvin Ridley,3342,68,72.5,0.99793358,31.625,0.991354695,4.43,0.985006347,2.974294622
