Player,totalYds,YPG,Height (in),Arm Length (in),40 Yard
Justin Jefferson,4825,96,73.25,33,4.43
Julio Jones,13629,87,74.75,33.75,4.34
Calvin Johnson,11619,86,77,36,4.38
Ja'Marr Chase,2501,86,72.38,30.75,4.34
Michael Thomas,6121,83,74.75,32.13,4.57
Antonio Brown,12291,80,70.13,31,4.56
Cooper Kupp,6329,79,73.75,31.5,4.62
Torry Holt,13382,77,72.3,30.25,4.44
DeAndre Hopkins,11298,77,73,33.38,4.57
Tyreek Hill,8340,77,68.13,30.5,4.29
Mike Evans,10425,76,76.75,35.13,4.53
Odell Beckham Jr.,7367,76,71.25,32.75,4.43
Stefon Diggs,8812,74,72,31.25,4.46
A.J. Brown,4491,74,72.5,32.88,4.49
Andre Johnson,14185,73,74,34,4.4
Terrell Owens,15934,72,74.9,34.5,4.65
Davante Adams,9637,72,72.88,32.63,4.56
Randy Moss,15292,70,75.6,34,4.38
Brandon Marshall,12351,69,76.5,32.63,4.54
CeeDee Lamb,3396,69,73.63,32.25,4.5
Anquan Boldin,13779,68,72.6,30,4.73
Calvin Ridley,3342,68,72.5,31.625,4.43
Steve Smith Sr.,14731,67,69,31.5,4.44
Reggie Wayne,14345,67,72,32,4.45
T.Y. Hilton,9812,67,69.5,32,4.37
Terry McLaurin,4281,67,72.13,31.5,4.35
Chad Johnson,11059,66,73,32,4.58
A.J. Green,10514,66,75.63,34.38,4.48
Marques Colston,9759,66,76.63,33.38,4.54
Brandin Cooks,8616,65,69.75,30.75,4.33
Amari Cooper,8236,65,72.88,31.5,4.42
Chris Godwin,5666,65,73,31.625,4.42
D.J. Moore,5201,65,72,31.63,4.42
Tee Higgins,3028,65,75.63,34.13,4.59
Justin Blackmon,1280,64,72.88,32.5,4.48
Garrett Wilson,1103,64,71.75,32,4.38
Dez Bryant,7506,63,74,34,4.52
D.K. Metcalf,4218,63,75.38,34.875,4.33
Deebo Samuel,3230,63,71.25,31.375,4.48
Alshon Jeffery,6786,62,74.88,33,4.48
David Boston,4699,62,73.3,32.25,4.47
Amon-Ra St. Brown,2073,62,71.5,30.375,4.61
DeSean Jackson,11263,61,69.75,29.75,4.4
Allen Robinson,6748,61,74.63,32,4.6
JuJu Smith-Schuster,4788,60,73.25,32.88,4.54
Jarvis Landry,7870,59,71.5,31.75,4.65
Vincent Jackson,9080,58,76.75,32.75,4.5
Plaxico Burress,8499,57,77.4,33.75,4.59
Greg Jennings,8291,57,71.13,31,4.47
Dwayne Bowe,7208,57,74.25,34.25,4.58
Darrell Jackson,7132,57,71.8,31.25,4.58
Will Fuller,3136,57,72.13,30.75,4.32
Laveranues Coles,8609,56,71.3,30.63,4.48
Jordy Nelson,8587,56,74.63,32.5,4.55
Diontae Johnson,3646,56,70.5,30.75,4.53
Brandon Aiyuk,2589,56,71.63,33.5,4.5
Tyler Lockett,7100,55,69.88,30,4.4
Jerry Jeudy,2295,55,73,32.13,4.45
Christian Kirk,4010,54,70.38,30.38,4.47
Michael Pittman Jr.,2510,54,76,32.5,4.52
Emmanuel Sanders,9245,53,70.88,32,4.4
Pierre Garcon,7854,53,71.88,31.13,4.44
Robert Woods,7604,53,72.38,31.08,4.51
Antonio Bryant,5685,53,73.3,32.25,4.6
Sterling Shepard,4038,53,70.25,30.38,4.48
Courtland Sutton,3487,53,75.38,32.375,4.54
Derrick Mason,12061,52,70.8,32.25,4.55
Santana Moss,10283,52,69.6,29,4.31
Eric Decker,5816,52,75.13,31,4.54
Golden Tate,8278,51,70.25,30.5,4.42
Tyler Boyd,5333,51,73.5,32,4.58
Sammy Watkins,5059,51,72.75,32,4.43
Marvin Jones,7386,50,73.88,33.13,4.46
Lee Evans,6008,50,70.9,32.38,4.41
Javon Walker,4011,50,74.8,32.5,4.4
Kenny Golladay,3670,50,75.75,32,4.5
Amani Toomer,9497,49,74.9,32.5,4.5
Chris Chambers,7648,49,71.6,34,4.33
Braylon Edwards,5522,49,74.88,33.13,4.45
DeVante Parker,5266,49,74.63,33.25,4.45
Kelvin Benjamin,3021,49,77,34.88,4.61
Martavis Bryant,2183,49,75.75,32.63,4.42
Randall Cobb,7585,48,70.25,31,4.46
Steve Johnson,4764,48,73.88,32.75,4.59
Michael Gallup,3326,48,72.75,31.5,4.51
Darnell Mooney,2179,48,70,30.88,4.38
Deion Branch,6644,47,69.1,30,4.47
Kendall Wright,3858,47,70.25,30.5,4.49
Chase Claypool,2184,47,76.25,32.5,4.42
George Pickens,801,47,75.25,32.38,4.47
Eddie Kennison,8345,46,71.4,31,4.5
Jamison Crowder,4667,46,68.38,30.38,4.56
Hunter Renfrow,2629,46,70.5,29,4.59
Kevin Johnson,4595,45,71.1,30.75,4.41
Jordan Matthews,3288,45,75.13,33.25,4.46
Tyrell Williams,3195,45,75.5,33.5,4.43
Jakobi Meyers,2758,45,73.63,32,4.63
Mike Williams,27516,44,76.63,34.13,4.57
Koren Robinson,4244,44,73.5,31.5,4.61
Sidney Rice,3592,44,75.5,33.5,4.53
Rashod Bateman,800,44,72.38,33,4.43
James Jones,5861,43,72.75,33,4.58
Brandon LaFell,5398,43,74.5,32.75,4.58
Miles Austin,5273,43,74.13,31,4.5
Torrey Smith,5141,43,72.88,32.63,4.41
Marcus Robinson,4699,43,75.4,34.13,4.55
Albert Connell,2674,43,72.4,31.5,4.55
Darius Slayton,2554,43,73,32.75,4.39
Brandon Lloyd,5989,42,72.1,31.25,4.61
Peerless Price,5281,42,70.9,31.5,4.55
Cecil Shorts,2979,42,71.75,31.63,4.58
Mario Manningham,2849,42,71.75,32.13,4.62
Denarius Moore,2169,42,71.63,33,4.43
Gabriel Davis,1984,42,74,32.25,4.54
Davone Bess,3809,41,69.88,30.13,4.77
Mark Clayton,3448,41,70.38,30.63,4.43
Allen Hurns,3380,41,73.25,32,4.55
Rueben Randle,2644,41,74.88,33,4.55
Steve Smith,2641,41,71.75,32.25,4.45
Terrance Williams,3377,40,74,31.28,4.52
Kevin Curtis,3297,40,71.1,30.38,4.46
Donovan Peoples-Jones,1740,40,73.63,33.5,4.48
Quincy Enunwa,1617,40,74,32.63,4.41
Travis Taylor,4017,39,72.9,31.5,4.43
Steve Breaston,3387,39,72.38,33.25,4.48
David Givens,2318,39,72,31.5,4.57
