Player,totalYds,YPG,Height (in),Arm Length (in),40 Yard,Vert Leap (in),Broad Jump (in)
Justin Jefferson,4825,96,73.25,33,4.43,37.5,126
Julio Jones,13629,87,74.75,33.75,4.34,38.5,135
Calvin Johnson,11619,86,77.0,36,4.38,42.5,139
Ja'Marr Chase,2501,86,72.38,30.75,4.34,41,132
Michael Thomas,6121,83,74.75,32.13,4.57,35,126
Antonio Brown,12291,80,70.13,31,4.56,33.5,105
Cooper Kupp,6329,79,73.75,31.5,4.62,31,116
Torry Holt,13382,77,72.3,30.25,4.44,37,118
DeAndre Hopkins,11298,77,73.0,33.38,4.57,36,115
Tyreek Hill,8340,77,68.13,30.5,4.29,40.5,129
Odell Beckham Jr.,7367,76,71.25,32.75,4.43,38.5,122
Stefon Diggs,8812,74,72.0,31.25,4.46,35,115
A.J. Brown,4491,74,72.5,32.88,4.49,36.5,120
Andre Johnson,14185,73,74.0,34,4.4,39,132
Terrell Owens,15934,72,74.9,34.5,4.65,33,120
Davante Adams,9637,72,72.88,32.63,4.56,39.5,123
Randy Moss,15292,70,75.6,34,4.38,33,117
Brandon Marshall,12351,69,76.5,32.63,4.54,37,120
CeeDee Lamb,3396,69,73.63,32.25,4.5,34.5,124
Anquan Boldin,13779,68,72.6,30,4.73,33.5,114
Calvin Ridley,3342,68,72.5,31.625,4.43,31,110
Steve Smith Sr.,14731,67,69.0,31.5,4.44,38.5,121
T.Y. Hilton,9812,67,69.5,32,4.37,35.5,119
Terry McLaurin,4281,67,72.13,31.5,4.35,37.5,125
Chad Johnson,11059,66,73.0,32,4.58,33,108
A.J. Green,10514,66,75.63,34.38,4.48,34.5,126
Marques Colston,9759,66,76.63,33.38,4.54,37,123
Brandin Cooks,8616,65,69.75,30.75,4.33,36,120
Amari Cooper,8236,65,72.88,31.5,4.42,33,120
Chris Godwin,5666,65,73.0,31.625,4.42,36,125
D.J. Moore,5201,65,72.0,31.63,4.42,39.5,132
Tee Higgins,3028,65,75.63,34.13,4.59,31,10
Justin Blackmon,1280,64,72.88,32.5,4.48,35,123
Garrett Wilson,1103,64,71.75,32,4.38,36,123
Dez Bryant,7506,63,74.0,34,4.52,38,133
D.K. Metcalf,4218,63,75.38,34.875,4.33,40.5,134
Deebo Samuel,3230,63,71.25,31.375,4.48,39,122
Alshon Jeffery,6786,62,74.88,33,4.48,36.5,122
David Boston,4699,62,73.3,32.25,4.47,37,116
Amon-Ra St. Brown,2073,62,71.5,30.375,4.61,38.5,127
DeSean Jackson,11263,61,69.75,29.75,4.4,34.5,120
Allen Robinson,6748,61,74.63,32,4.6,39,126
JuJu Smith-Schuster,4788,60,73.25,32.88,4.54,32.5,120
Jarvis Landry,7870,59,71.5,31.75,4.65,28.5,110
Vincent Jackson,9080,58,76.75,32.75,4.5,39,129
Plaxico Burress,8499,57,77.4,33.75,4.59,33,115
Greg Jennings,8291,57,71.13,31,4.47,36.5,117
Dwayne Bowe,7208,57,74.25,34.25,4.58,33,125
Will Fuller,3136,57,72.13,30.75,4.32,33.5,126
Laveranues Coles,8609,56,71.3,30.63,4.48,34,115
Jordy Nelson,8587,56,74.63,32.5,4.55,31,123
Diontae Johnson,3646,56,70.5,30.75,4.53,33.5,123
Brandon Aiyuk,2589,56,71.63,33.5,4.5,40,128
Tyler Lockett,7100,55,69.88,30,4.4,35.5,121
Jerry Jeudy,2295,55,73.0,32.13,4.45,35,120
Christian Kirk,4010,54,70.38,30.38,4.47,35.5,115
Michael Pittman Jr.,2510,54,76.0,32.5,4.52,36.5,121
Emmanuel Sanders,9245,53,70.88,32,4.4,39.5,126
Pierre Garcon,7854,53,71.88,31.13,4.44,36.5,125
Robert Woods,7604,53,72.38,31.08,4.51,33.5,117
Antonio Bryant,5685,53,73.3,32.25,4.6,37,118
Sterling Shepard,4038,53,70.25,30.38,4.48,41,123
Courtland Sutton,3487,53,75.38,32.375,4.54,35.5,124
Derrick Mason,12061,52,70.8,32.25,4.55,32,113
Golden Tate,8278,51,70.25,30.5,4.42,35,120
Tyler Boyd,5333,51,73.5,32,4.58,34,119
Sammy Watkins,5059,51,72.75,32,4.43,34,125
Marvin Jones,7386,50,73.88,33.13,4.46,33,112
Lee Evans,6008,50,70.9,32.38,4.41,34.5,120
Javon Walker,4011,50,74.8,32.5,4.4,39.5,124
Kenny Golladay,3670,50,75.75,32,4.5,35.5,120
Amani Toomer,9497,49,74.9,32.5,4.5,40,132
Chris Chambers,7648,49,71.6,34,4.33,45,134
DeVante Parker,5266,49,74.63,33.25,4.45,36.5,125
Kelvin Benjamin,3021,49,77.0,34.88,4.61,32.5,117
Martavis Bryant,2183,49,75.75,32.63,4.42,39,123
Randall Cobb,7585,48,70.25,31,4.46,33.5,115
Steve Johnson,4764,48,73.88,32.75,4.59,32.5,121
Michael Gallup,3326,48,72.75,31.5,4.51,36,122
Darnell Mooney,2179,48,70.0,30.88,4.38,37,124
Deion Branch,6644,47,69.1,30,4.47,36,115
Kendall Wright,3858,47,70.25,30.5,4.49,38.5,121
Chase Claypool,2184,47,76.25,32.5,4.42,40.5,126
