Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick
Plaxico Burress,WR,77,231,4.59,33,,115,,,2000,BurrPl00,25,Pittsburgh Steelers,1,8
Kwame Cavil,WR,74,208,4.54,39.5,,118,,,2000,CaviKw00,0,,,
Chris Cole,WR,72,191,4.37,37.5,,125,6.76,4.09,2000,ColeCh00,1,Denver Broncos,3,70
Chris Coleman,WR,72,211,4.61,32.5,,110,6.79,4.1,2000,ColeCh01,0,,,
Laveranues Coles,WR,71,192,4.41,34,,115,6.89,4.39,2000,ColeLa00,26,New York Jets,3,78
Chris Daniels,WR,75,217,4.74,33,,115,7.2,4.24,2000,,0,,,
Brandon Daniels,WR,70,211,4.54,,,,,,2000,,0,,,
JaJuan Dawson,WR,73,199,4.55,34,,117,6.96,4.16,2000,DawsJa00,5,Cleveland Browns,3,79
Ron Dugans,WR,73,206,4.58,,,117,,,2000,DugaRo00,6,Cincinnati Bengals,3,66
Matt Farmer,WR,72,190,4.51,33,,108,6.63,3.94,2000,,0,,,
Danny Farmer,WR,75,217,4.58,,,,,,2000,FarmDa00,5,Pittsburgh Steelers,4,103
Chafie Fields,WR,73,196,4.43,,,,,,2000,,0,,,
Larry Foster,WR,70,198,4.55,37,,121,6.88,4.06,2000,FostLa00,5,,,
Trevor Gaylor,WR,75,199,4.56,37.5,,121,7.03,4.29,2000,GaylTr00,7,San Diego Chargers,4,111
Sherrod Gideon,WR,71,173,4.66,,,,,,2000,,0,,,
Ricky Hall,WR,74,206,4.52,,,,,,2000,,0,,,
Joey Hamilton,WR,73,201,4.54,36,,116,7.57,4.41,2000,,0,,,
Windrell Hayes,WR,71,204,4.5,,,,7.33,4.18,2000,HayeWi00,1,New York Jets,5,143
Leroy Hodge,WR,73,215,4.54,34.5,,116,7.14,4.21,2000,,0,,,
Trevor Insley,WR,72,192,4.7,,,,,,2000,InslTr00,2,,,
Darrell Jackson,WR,72,197,4.56,,,,,,2000,JackDa00,24,Seattle Seahawks,3,80
Dwaune Jones,WR,72,191,4.66,,,,,,2000,,0,,,
Marcus Knight,WR,73,180,4.72,28.5,,106,7.11,4.38,2000,KnigMa00,0,,,
Charles Lee,WR,73,202,4.56,35.5,,125,7.3,4.25,2000,LeexCh00,1,Green Bay Packers,7,242
Anthony Lucas,WR,75,194,4.53,35,,121,,,2000,,0,,,
Alton Lusk,WR,74,182,4.61,36.5,,122,7.16,4.26,2000,,0,,,
Wendell Montgomery,WR,75,203,4.81,35.5,,117,7.01,4.24,2000,,0,,,
Scottie Montgomery,WR,72,196,4.57,36,,117,7.16,4.11,2000,MontSc00,2,,,
Muneer Moore,WR,73,201,4.52,37.5,,129,6.91,4.09,2000,,0,,,
Sylvester Morris,WR,75,216,4.6,34.5,,119,7.06,4.17,2000,MorrSy00,6,Kansas City Chiefs,1,21
Dennis Northcutt,WR,70,175,4.43,37.5,,123,6.96,4.04,2000,NortDe00,13,Cleveland Browns,2,32
Cory Peterson,WR,74,195,4.75,32.5,,114,,,2000,,0,,,
Mareno Philyaw,WR,74,205,4.66,39.5,,129,6.93,4.13,2000,PhilMa20,0,Atlanta Falcons,6,172
Todd Pinkston,WR,74,169,4.45,,,,,,2000,PinkTo00,16,Philadelphia Eagles,2,36
Jerry Porter,WR,74,221,4.48,,,,,,2000,PortJe00,10,Oakland Raiders,2,47
Gari Scott,WR,72,194,4.59,33.5,,119,,,2000,ScotGa00,0,Philadelphia Eagles,4,99
Kofi Shuck,WR,74,180,4.66,33,,119,7.18,4.1,2000,,0,,,
R. Jay Soward,WR,69,177,4.34,35,,124,,,2000,SowaR.00,2,Jacksonville Jaguars,1,29
Quinton Spotwood,WR,71,184,4.55,33.5,,123,,,2000,,0,,,
Travis Taylor,WR,73,199,4.43,37,,118,7.15,,2000,TaylTr01,16,Baltimore Ravens,1,10
Troy Walters,WR,66,171,4.55,32.5,,106,6.61,3.84,2000,WaltTr00,2,Minnesota Vikings,5,165
Peter Warrick,WR,71,194,4.58,,,,,,2000,WarrPe00,16,Cincinnati Bengals,1,4
Dez White,WR,73,218,4.62,37.5,,124,6.91,4.09,2000,WhitDe00,10,Chicago Bears,3,69
James Williams,WR,71,180,4.59,36,,123,7.22,4.16,2000,WillJa01,4,Seattle Seahawks,6,175
Bashir Yamini,WR,75,191,4.53,33,,130,7.09,4.18,2000,YamiBa20,0,,,
Scotty Anderson,WR,74,184,4.57,34.5,,115,,,2001,AndeSc00,8,Detroit Lions,5,148
Alex Bannister,WR,77,201,4.47,30.5,,110,,,2001,BannAl00,1,Seattle Seahawks,5,140
Eddie Berlin,WR,71,191,4.43,39.5,,122,6.78,4.08,2001,BerlEd00,1,Tennessee Titans,5,159
Corey Brown,WR,72,202,4.63,39.5,,126,,,2001,,0,,,
Adrian Burnette,WR,70,191,4.63,,,,,,2001,,0,,,
John Capel,WR,71,177,4.39,36.5,,126,,,2001,,0,,,
Chris Chambers,WR,72,210,4.33,45,,134,,4,2001,ChamCh00,26,Miami Dolphins,2,52
Kenny Clark,WR,73,225,4.59,35.5,,121,,,2001,ClarKe22,0,,,
Ronney Daniels,WR,73,212,4.61,34.5,,118,,,2001,,0,,,
Robert Ferguson,WR,73,205,4.48,36.5,,120,7.24,4.07,2001,FergRo00,9,Green Bay Packers,2,41
Richmond Flowers,WR,71,195,4.55,35.5,,114,6.98,3.96,2001,,0,,,
Rod Gardner,WR,74,219,4.48,,,,,,2001,GardRo00,20,Washington Redskins,1,15
Reggie Germany,WR,73,183,4.39,,,,,,2001,GermRe00,2,Buffalo Bills,7,214
Javon Green,WR,73,211,4.73,35.5,,113,7.41,4.34,2001,,0,,,
Latef Grim,WR,71,188,4.6,,,111,7.27,4.33,2001,,0,,,
Daniel Guy,WR,74,211,4.61,38.5,,125,7.35,4.29,2001,,0,,,
Margin Hooks,WR,71,191,4.5,36,,116,7.08,4.18,2001,,0,,,
Khori Ivy,WR,74,195,4.64,,,,,,2001,,0,,,
Arnold Jackson,WR,68,167,4.48,41,,127,7.42,4.11,2001,JackAr00,0,,,
Cedric James,WR,74,204,4.49,43,,134,,,2001,JameCe00,0,Minnesota Vikings,4,131
Sly Johnson,WR,69,181,4.61,35.5,,115,,,2001,,0,,,
Chad Johnson,WR,73,192,4.57,33,,108,7.51,4.14,2001,JohnCh01,24,Cincinnati Bengals,2,36
Kevin Kasper,WR,72,199,4.42,43.5,,126,6.56,3.73,2001,KaspKe00,2,Denver Broncos,6,190
Robert Kilow,WR,70,171,4.44,,,,,,2001,,0,,,
Andre King,WR,72,199,4.61,,,,,,2001,KingAn00,2,Cleveland Browns,7,245
Dave Klemic,WR,71,188,4.37,36.5,,116,,,2001,,0,,,
David Martin,WR,76,242,4.76,,,,,,2001,MartDa00,3,Green Bay Packers,6,198
Justin McCareins,WR,74,209,4.51,41,,129,7.06,3.99,2001,McCaJu00,14,Tennessee Titans,4,124
Quentin McCord,WR,70,191,4.48,36.5,,112,7.17,4.18,2001,McCoQu00,5,Atlanta Falcons,7,236
Shawn Mills,WR,72,180,4.51,34.5,,116,7.12,4.15,2001,,0,,,
Snoop Minnis,WR,73,171,4.57,37.5,,115,7.06,4.07,2001,MinnMa00,5,Kansas City Chiefs,3,77
Freddie Mitchell,WR,71,185,4.46,39.5,,120,6.95,4.06,2001,MitcFr00,10,Philadelphia Eagles,1,25
Quincy Morgan,WR,73,211,4.48,,,,,,2001,MorgQu00,17,Cleveland Browns,2,33
Santana Moss,WR,70,184,4.31,,,,,,2001,MossSa00,18,New York Jets,1,16
Steve Neal,WR,73,190,4.59,36,,119,7.18,4.19,2001,NealSt20,19,,,
Bobby Newcombe,WR,70,195,4.53,37,,117,6.86,3.98,2001,,0,Arizona Cardinals,6,166
Nate Poole,WR,73,198,4.79,32.5,,112,7.26,4.22,2001,PoolNa01,3,,,
Ken-Yon Rambo,WR,73,196,4.34,,,,,,2001,RambKe00,1,Oakland Raiders,7,229
Koren Robinson,WR,73,211,4.61,,,,,,2001,RobiKo00,25,Seattle Seahawks,1,9
Steve Smith,WR,69,184,4.41,38.5,,121,7.44,4.25,2001,SmitSt01,24,Carolina Panthers,3,74
Vinny Sutherland,WR,69,192,4.48,,,,,,2001,SuthVi00,0,Atlanta Falcons,5,136
Chris Taylor,WR,71,183,4.4,35.5,,115,6.81,3.93,2001,,0,Pittsburgh Steelers,7,218
David Terrell,WR,75,213,4.43,,,,,,2001,TerrDa00,8,Chicago Bears,1,8
Reggie Wayne,WR,72,198,4.45,,,,,,2001,WaynRe00,20,Indianapolis Colts,1,30
Marcus Williams,WR,77,230,4.56,41,,130,7.37,4.2,2001,WillMa21,0,,,
Cedrick Wilson,WR,70,179,4.48,38,,123,,,2001,WilsCe00,7,San Francisco 49ers,6,169
Atrews Bell,WR,71,218,4.52,,,,,,2002,,0,,,
Deion Branch,WR,69,191,4.47,36,,117,6.71,3.78,2002,BranDe00,17,New England Patriots,2,65
Antonio Bryant,WR,73,188,4.57,37,,121,,,2002,BryaAn00,14,Dallas Cowboys,2,63
Reche Caldwell,WR,72,194,4.53,41.5,,130,7,4.1,2002,CaldRe00,8,San Diego Chargers,2,48
Kelly Campbell,WR,70,171,4.48,,,,,,2002,CampKe00,12,,,
Tim Carter,WR,72,190,4.32,39,,126,6.68,3.93,2002,CartTi00,4,New York Giants,2,46
Terry Charles,WR,75,207,4.52,36.5,,122,7.02,4.09,2002,,0,,,
Andre' Davis,WR,73,194,4.42,39.5,,123,6.77,4.1,2002,DaviAn01,13,Cleveland Browns,2,47
Antwaan Randle El,WR,70,191,4.49,,,,,,2002,RandAn00,18,Pittsburgh Steelers,2,62
R.J. English,WR,74,211,4.55,37.5,,121,7.03,4.11,2002,,0,,,
Jabar Gaffney,WR,73,193,4.56,,,,6.87,4.06,2002,GaffJa00,13,Houston Texans,2,33
David Givens,WR,72,217,4.56,40.5,,126,6.82,4.13,2002,GiveDa00,15,New England Patriots,7,253
Herb Haygood,WR,71,193,4.45,33,,114,6.65,4.26,2002,HaygHe20,0,Denver Broncos,5,144
Kahlil Hill,WR,74,200,4.65,35,,,,,2002,HillKa20,0,Atlanta Falcons,6,184
Javin Hunter,WR,71,186,4.47,41,,129,6.84,4.04,2002,HuntJa00,0,Baltimore Ravens,6,206
Ron Johnson,WR,74,225,4.7,34.5,,118,7.12,4.02,2002,JohnRo03,1,Baltimore Ravens,4,123
Emmett Johnson,WR,74,205,4.45,39,,122,7.15,4.1,2002,,0,,,
Daryl Jones,WR,69,180,4.35,,,,,,2002,JoneDa02,1,New York Giants,7,226
Ashley Lelie,WR,75,197,4.49,,,,,,2002,LeliAs00,22,Denver Broncos,1,19
Devin Lewis,WR,74,205,4.54,38.5,,111,,,2002,,0,,,
Aaron Lockett,WR,67,155,4.31,35,,119,6.84,4.11,2002,,0,Tampa Bay Buccaneers,7,254
Lee Mays,WR,73,190,4.55,32.5,,119,7.08,4.17,2002,MaysLe00,1,Pittsburgh Steelers,6,202
Jason McAddley,WR,73,203,4.47,36.5,,123,6.83,4.09,2002,McAdJa00,3,Arizona Cardinals,5,149
Freddie Milons,WR,70,190,4.51,33.5,,117,6.84,,2002,,0,Philadelphia Eagles,5,162
Kendall Newson,WR,74,200,4.69,33.5,,117,6.87,4.27,2002,NewsKe00,1,Jacksonville Jaguars,7,222
Donnie O'Neal,WR,73,191,4.52,38,,126,6.9,,2002,,0,,,
Brian Poli-Dixon,WR,77,210,4.48,,,,,,2002,,0,,,
Pete Rebstock,WR,69,190,4.5,,,,,,2002,,0,,,
Josh Reed,WR,70,210,4.54,,,,,,2002,ReedJo01,12,Buffalo Bills,2,36
Cliff Russell,WR,71,185,4.36,,,,,,2002,RussCl00,0,Washington Redskins,3,87
Jake Schifino,WR,73,200,4.49,,,,,,2002,SchiJa20,0,Tennessee Titans,5,151
Donte' Stallworth,WR,72,197,4.22,,,,,,2002,StalDo00,19,New Orleans Saints,1,13
Lawrence Story,WR,77,205,4.63,33.5,,114,7.06,4.16,2002,,0,,,
