,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
0,2022,Calvin Austin,Memphis,WR,67.75,170,9.25,30,,4.32,,39,135,4.07,6.65,
1,2022,Kevin Austin,Notre Dame,WR,74.38,200,9,32.88,,4.43,,39,132,4.15,6.71,
2,2022,David Bell,Purdue,WR,72.88,212,9.25,31.88,,4.68,,33,118,4.57,7.14,
3,2022,Slade Bolden,Alabama,WR,70.63,193,9.75,29.38,,4.66,,32,116,,,
4,2022,Treylon Burks,Arkansas,WR,73.88,224,9.75,33.5,,4.55,12,33,122,4.4,7.28,
5,2022,DaiJean Dixon,Nicholls State (LA),WR,74.63,205,9.5,32.38,,4.62,,34,125,4.42,7.28,
6,2022,Jahan Dotson,Penn State,WR,70.63,178,9.5,30.75,,4.43,,36,121,,7.28,
7,2022,Romeo Doubs,Nevada,WR,73.88,201,10,32.25,,,,,,,,
8,2022,Dontario Drummond,Mississippi,WR,72.88,215,9.25,31.5,,4.65,,34,122,,,
9,2022,Erik Ezukanma,Texas Tech,WR,73.88,209,9.38,33.5,,,,36.5,126,4.38,,
10,2022,Ty Fryfogle,Indiana,WR,73.13,209,9.75,30.88,,4.53,13,39,127,4.47,7.15,
11,2022,Danny Gray,Southern Methodist (TX),WR,71.88,186,9.63,31.88,,4.33,,34,126,,,
12,2022,Johnny Johnson,Oregon,WR,71.88,197,9.75,30.5,,4.6,,32,121,4.54,7.21,
13,2022,Josh Johnson,Tulsa (OK),WR,70.5,179,8.63,32.25,,4.62,14,,,,,
14,2022,Velus Jones,Tennessee,WR,71.75,204,9.75,30.88,,4.31,,33,121,,,
15,2022,DEriq King,Miami (FL),WR,68.75,196,9.25,28.88,,,,,,,,
16,2022,Drake London,Southern California,WR,75.88,219,9.38,33,,,,,,,,
17,2022,Bo Melton,Rutgers,WR,71,189,9,31.25,,4.34,,38,121,,6.98,
18,2022,John Metchie,Alabama,WR,71.25,187,9.25,30.63,,,,,,,,
19,2022,Skyy Moore,Western Michigan,WR,69.63,195,10.25,31,,4.41,,34.5,125,4.32,7.13,
20,2022,Jalen Nailor,Michigan State,WR,71.25,186,9.13,30.25,,4.5,,38,128,4.28,7.03,
21,2022,Chris Olave,Ohio State,WR,72.38,187,9.5,31.13,,4.39,,32,124,,,
22,2022,Kyle Philips,UCLA,WR,71.25,189,8.63,29.63,,4.58,,33.5,124,,,
23,2022,George Pickens,Georgia,WR,75.25,195,8.75,32.38,,4.47,,33,125,,,
24,2022,Alec Pierce,Cincinnati,WR,75.13,211,9,33,,4.41,,40.5,129,4.28,7.13,
25,2022,Makai Polk,Mississippi State,WR,75.13,195,9.5,32.25,,4.59,,31,119,4.36,,
26,2022,Charleston Rambo,Miami (FL),WR,72.63,177,9.75,32,,4.57,,33.5,118,,,
27,2022,Reggie Roberson,Southern Methodist (TX),WR,71,192,9.5,32.63,,,,29,114,,,
28,2022,WanDale Robinson,Kentucky,WR,68,178,9,27.63,,4.44,,34.5,118,,,
29,2022,Justyn Ross,Clemson,WR,75.63,205,9.63,32.13,,,11,,,,,
30,2022,Braylon Sanders,Mississippi,WR,72.13,194,10,31.5,,4.48,,34.5,121,,,
31,2022,Khalil Shakir,Boise State,WR,71.88,196,9.5,29,,4.43,,34.5,124,4.21,7.28,
32,2022,Tyquan Thornton,Baylor,WR,74.38,181,8.25,33.25,,4.28,,36.5,130,,,
33,2022,Jalen Tolbert,South Alabama,WR,73.63,193,10,32.63,,4.49,,36,123,4.24,7.08,
34,2022,Tre Turner,Virginia Tech,WR,73.38,184,8.5,30.75,,4.51,,30,113,4.53,7.45,
35,2022,Christian Watson,North Dakota State,WR,76.13,208,10.13,32.5,,4.36,,38.5,136,,,
36,2022,Isaiah Weston,Northern Iowa,WR,75.5,214,9.5,32.5,,4.42,20,40,135,,,
37,2022,Devon Williams,Oregon,WR,77,210,9.88,34.13,,4.65,,33,133,,,
38,2022,Jameson Williams,Alabama,WR,73.5,179,9.25,32.13,,,,,,,,
39,2022,Garrett Wilson,Ohio State,WR,71.75,183,9.88,32,,4.38,,36,123,4.36,,
40,2022,Michael Woods,Oklahoma,WR,73.5,203,9.63,33.25,,4.55,,34.5,125,4.46,7.07,
41,2021,Jonathan Adams,Arkansas State,WR,74,210,9.875,32.125,,4.59,,39,132,4.38,7.04,
42,2021,Tutu Atwell,Louisville,WR,68.88,155,8.875,29.25,,4.39,,33,117,4.09,6.87,
43,2021,Jhamon Ausbon,Texas A&M,WR,74.38,217,9.875,32.375,,4.72,,33,118,4.28,6.89,
44,2021,Kawaan Baker,South Alabama,WR,72.5,210,10.75,32.375,,4.45,21,39.5,129,4.41,7.42,
45,2021,Rashod Bateman,Minnesota,WR,72.38,190,9.5,33,,4.43,,36,123,4.35,6.95,
46,2021,Tarik Black,Texas,WR,74.75,213,9.75,33.75,,4.54,15,40,132,4.26,6.91,
47,2021,Rico Bussey,Hawaii,WR,72.38,186,10.125,33,,4.5,13,38.5,124,4.26,7.21,
48,2021,Jalen Camp,Georgia Tech,WR,73.88,226,9.625,33.75,,4.48,29,39.5,125,4.14,7,
49,2021,JaMarr Chase,Louisiana State,WR,72.38,201,9.625,30.75,,4.34,,41,132,3.99,6.96,
50,2021,Nico Collins,Michigan,WR,76.13,215,9.375,34.125,,4.45,14,37.5,125,4.32,6.79,
51,2021,Donnie Corley,Texas Southern,WR,73.75,195,9.25,32.375,,4.59,13,34,123,4.29,6.83,
52,2021,Damonte Coxie,Memphis,WR,74.13,198,8.75,33.25,,4.77,4,30.5,122,4.45,6.92,
53,2021,Frank Darby,Arizona State,WR,72,201,9.625,31.375,,4.61,19,34.5,117,4.23,7.15,
54,2021,Jaelon Darden,North Texas,WR,67.63,174,8.75,30.625,,4.46,11,35.5,122,4.1,6.67,
55,2021,DWayne Eskridge,Western Michigan,WR,68.75,190,9,30.125,,4.4,,35,124,4.27,6.95,
56,2021,Dez Fitzpatrick,Louisville,WR,73.75,208,9.625,32.75,,4.49,,35,100,4.25,7.06,
57,2021,Bailey Gaither,San Jose State,WR,72,188,9.25,31,,4.48,9,31,121,4.39,7.07,
58,2021,Trevon Grimes,Florida,WR,76,220,9.625,31.375,,4.5,15,35,118,4.26,7,
59,2021,Adrian Hardy,Louisiana Tech,WR,73,205,9.375,32,,4.61,12,37.5,124,4.5,6.96,
60,2021,Jacob Harris,Central Florida,WR,77,219,9.5,33.75,,4.43,15,40.5,133,4.31,6.51,
61,2021,Damon Hazelton,Missouri,WR,74.75,206,9.875,33.375,,4.64,,37.5,120,4.32,7.11,
62,2021,Josh Imatorbhebhe,Illinois,WR,72.88,218,9.25,32.375,,4.53,24,46.5,134,4.38,7.1,
63,2021,Warren Jackson,Colorado State,WR,78,219,9.375,33.5,,4.72,11,33.5,123,4.51,7.71,
64,2021,Terrell Jana,Virginia,WR,71.13,195,9.125,31.75,,4.69,17,32,110,4.13,7.05,
65,2021,Cade Johnson,South Dakota State,WR,70.63,184,9.375,29.25,,4.51,11,35,114,,,
66,2021,Tim Jones,Southern Mississippi,WR,72.75,203,9.5,31.375,,4.47,17,40,124,4.14,7.02,
67,2021,Branden Mack,Temple,WR,77,217,9.25,32.125,,4.66,11,31,115,4.37,7.13,
68,2021,Terrace Marshall,Louisiana State,WR,74.5,205,9.5,32.75,,4.4,19,39,125,,,
69,2021,Khalil McClain,Troy (AL),WR,74.88,214,9.625,31.875,,4.7,15,32,114,4.5,7.72,
70,2021,Racey McMath,Louisiana State,WR,74.5,211,8.875,32,,4.39,,34,125,4.4,7.37,
71,2021,Osirus Mitchell,Mississippi State,WR,77,206,10.875,34.375,,4.61,12,35.5,128,4.34,7.12,
72,2021,Elijah Moore,Mississippi,WR,69.5,178,9.375,30.125,,4.35,17,36,121,4,6.67,
73,2021,Rondale Moore,Purdue,WR,67,181,8.75,28.25,,4.32,,42.5,126,4.1,6.68,
74,2021,Dazz Newsome,North Carolina,WR,70.13,190,9,29.875,,4.59,12,34,121,4.39,7.39,
75,2021,Tre Nixon,Central Florida,WR,72.13,187,9.125,31.75,,4.44,18,35.5,125,4.25,6.81,
76,2021,Antonio Nunn,Buffalo,WR,71,204,8.875,31,,4.5,15,33.5,120,4.32,7.12,
77,2021,Josh Palmer,Tennessee,WR,73.25,210,9.625,33,,4.52,,34,124,4.24,6.98,
78,2021,Whop Philyor,Indiana,WR,69.63,184,9.25,30.625,,4.58,14,31,120,4.38,7.2,
79,2021,Cornell Powell,Clemson,WR,72.25,204,10,32.75,,4.53,16,36.5,128,4.21,7.03,
80,2021,Blake Proehl,East Carolina (NC),WR,73.88,186,9,31.5,,4.47,12,36,126,4.2,7,
81,2021,Amari Rodgers,Clemson,WR,69.5,212,9.5,30.375,,4.52,19,33,121,4.31,7.07,
82,2021,T.J. Simmons,West Virginia,WR,73.38,208,9.375,32,,4.59,13,32,120,4.55,7.22,
83,2021,Bennett Skowronek,Notre Dame,WR,74.88,220,10.125,33.25,,,13,,118,,,
84,2021,Brandon Smith,Iowa,WR,73.38,218,9.375,34.25,,4.64,21,39,130,,,
85,2021,DeVonta Smith,Alabama,WR,72.25,170,9.25,31.875,,,,,131,,,
86,2021,Shi Smith,South Carolina,WR,69.5,186,9.75,31.875,,4.46,,36,123,4.22,6.79,
87,2021,Ihmir Smith-Marsette,Iowa,WR,72.75,181,9.75,30.75,,4.5,10,37,124,4.23,7.06,
88,2021,Amon-Ra St. Brown,Southern California,WR,71.5,197,9.125,30.375,,4.61,20,38.5,127,4.26,6.9,
89,2021,Marquez Stevenson,Houston,WR,70.13,180,8.625,31.5,,4.48,,33,122,4.21,6.86,
90,2021,Dillon Stoner,Oklahoma State,WR,72.13,194,9,30.875,,4.57,16,37,123,4.18,6.95,
91,2021,Eli Stove,Auburn,WR,71.38,194,9.125,32.125,,4.54,14,30.5,119,4.4,7.34,
92,2021,Mike Strachan,Charleston (WV),WR,77.38,226,10,34.25,,4.54,20,35,127,4.36,6.96,
93,2021,Sage Surratt,Wake Forest,WR,74.5,209,9,32.25,,4.7,,,115,4.25,,
