Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Tony Gonzalez*,KAN,28,TE,2004,16,16,148,102,68.90%,1258,12.3,7,70,60.8,32,8.5,6.4,78.6,0,GonzTo00
2,Derrick Mason,TEN,30,WR,2004,16,16,158,96,60.80%,1168,12.2,7,67,55.1,37,7.4,6,73,2,MasoDe00
3,Chad Johnson*,CIN,26,WR,2004,16,16,170,95,55.90%,1274,13.4,9,63,50,53,7.5,5.9,79.6,1,JohnCh01
4,Torry Holt*,STL,28,WR,2004,16,16,135,94,69.60%,1372,14.6,10,59,57,75,10.2,5.9,85.8,3,HoltTo00
5,Joe Horn*,NOR,32,WR,2004,16,16,153,94,61.40%,1399,14.9,11,73,54.2,57,9.1,5.9,87.4,0,HornJo00
6,Muhsin Muhammad*+,CAR,31,WR,2004,16,16,160,93,58.10%,1405,15.1,16,74,55.6,51,8.8,5.8,87.8,3,MuhaMu00
7,Laveranues Coles,WAS,27,WR,2004,16,16,168,90,53.60%,950,10.6,1,52,43.5,45,5.7,5.6,59.4,1,ColeLa00
8,Isaac Bruce,STL,32,WR,2004,16,16,148,89,60.10%,1292,14.5,6,64,54.1,56,8.7,5.6,80.8,5,BrucIs00
9,Javon Walker*,GNB,26,WR,2004,16,12,144,89,61.80%,1382,15.5,12,63,54.2,79,9.6,5.6,86.4,2,WalkJa00
10,Eric Moulds,BUF,31,WR,2004,16,16,152,88,57.90%,1043,11.9,5,53,49.3,49,6.9,5.5,65.2,1,MoulEr00
11,Darrell Jackson,SEA,26,WR,2004,16,16,156,87,55.80%,1199,13.8,7,59,51.3,56,7.7,5.4,74.9,2,JackDa00
12,Jason Witten*,DAL,22,TE,2004,16,15,122,87,71.30%,980,11.3,6,45,54.9,42,8,5.4,61.3,2,WittJa00
13,Marvin Harrison*,IND,32,WR,2004,16,16,139,86,61.90%,1113,12.9,15,63,54.7,59,8,5.4,69.6,1,HarrMa00
14,Donald Driver,GNB,29,WR,2004,16,11,137,84,61.30%,1208,14.4,9,61,56.2,50,8.8,5.3,75.5,2,DrivDo00
15,Eric Johnson,SFO,25,TE,2004,16,14,117,82,70.10%,825,10.1,2,46,59,25,7.1,5.1,51.6,1,JohnEr00
16,Antonio Gates*+,SDG,24,TE,2004,15,15,114,81,71.10%,964,11.9,13,55,63.2,72,8.5,5.4,64.3,0,GateAn00
17,Drew Bennett,TEN,26,WR,2004,16,16,144,80,55.60%,1247,15.6,11,62,51.4,48,8.7,5,77.9,3,BennDr00
18,Michael Clayton,TAM,22,WR,2004,16,13,122,80,65.60%,1193,14.9,7,56,61.5,75,9.8,5,74.6,1,ClayMi00
19,Hines Ward*,PIT,28,WR,2004,16,16,108,80,74.10%,1004,12.6,4,52,64.8,58,9.3,5,62.8,1,WardHi00
20,Andre Johnson*,HOU,23,WR,2004,16,16,138,79,57.20%,1142,14.5,6,53,51.4,54,8.3,4.9,71.4,1,JohnAn02
21,Rod Smith,DEN,34,WR,2004,16,16,136,79,58.10%,1144,14.5,7,52,53.7,85,8.4,4.9,71.5,4,SmitRo01
22,Terrell Owens*+,PHI,31,WR,2004,14,14,127,77,60.60%,1200,15.6,14,51,55.1,59,9.4,5.5,85.7,2,OwenTe00
23,Reggie Wayne,IND,26,WR,2004,16,16,115,77,67.00%,1210,15.7,12,59,62.6,71,10.5,4.8,75.6,0,WaynRe00
24,Jimmy Smith,JAX,35,WR,2004,16,16,137,74,54.00%,1172,15.8,6,52,49.6,65,8.6,4.6,73.3,2,SmitJi00
25,T.J. Houshmandzadeh,CIN,27,WR,2004,16,13,108,73,67.60%,978,13.4,4,48,58.3,62,9.1,4.6,61.1,0,HousTJ00
26,Randy McMichael,MIA,25,TE,2004,16,16,118,73,61.90%,791,10.8,4,43,44.9,42,6.7,4.6,49.4,2,McMiRa01
27,Brian Westbrook*,PHI,25,RB,2004,13,12,87,73,83.90%,703,9.6,6,30,50.6,50,8.1,5.6,54.1,1,WestBr00
28,Jermaine Wiggins,MIN,29,TE,2004,14,13,92,71,77.20%,705,9.9,4,33,62,39,7.7,5.1,50.4,1,WiggJe00
29,Keyshawn Johnson,DAL,32,WR,2004,16,16,124,70,56.50%,981,14,6,53,54,39,7.9,4.4,61.3,1,JohnKe00
30,Chris Chambers,MIA,26,WR,2004,15,15,140,69,49.30%,898,13,7,44,42.9,76,6.4,4.6,59.9,1,ChamCh00
31,Nate Burleson,MIN,23,WR,2004,16,15,102,68,66.70%,1006,14.8,9,50,61.8,68,9.9,4.3,62.9,1,BurlNa00
32,Brandon Stokley,IND,28,WR,2004,16,3,102,68,66.70%,1077,15.8,10,54,61.8,69,10.6,4.3,67.3,1,StokBr00
33,Domanick Williams,HOU,24,RB,2004,15,15,84,68,81.00%,588,8.6,1,27,59.5,38,7,4.5,39.2,4,DaviDo01
34,Jerry Porter,OAK,26,WR,2004,16,16,136,64,47.10%,998,15.6,9,47,41.2,52,7.3,4,62.4,2,PortJe00
35,Eddie Kennison,KAN,31,WR,2004,14,14,106,62,58.50%,1086,17.5,8,47,53.8,70,10.2,4.4,77.6,1,KennEd00
36,Jeremy Shockey,NYG,24,TE,2004,15,15,97,61,62.90%,666,10.9,6,31,56.7,38,6.9,4.1,44.4,1,ShocJe00
37,Antonio Bryant,2TM,23,WR,2004,15,8,99,58,58.60%,812,14,4,36,47.5,55,8.2,3.9,54.1,1,BryaAn00
38,Larry Fitzgerald,ARI,21,WR,2004,16,16,115,58,50.40%,780,13.4,8,37,39.1,48,6.8,3.6,48.8,1,FitzLa00
39,Donte' Stallworth,NOR,24,WR,2004,16,10,106,58,54.70%,767,13.2,5,35,47.2,45,7.2,3.6,47.9,0,StalDo00
40,Anquan Boldin,ARI,24,WR,2004,10,9,104,56,53.80%,623,11.1,1,34,47.1,31,6,5.6,62.3,1,BoldAn00
41,David Givens,NWE,24,WR,2004,15,12,106,56,52.80%,874,15.6,3,47,49.1,50,8.2,3.7,58.3,0,GiveDa00
42,Thomas Jones,CHI,26,RB,2004,14,14,72,56,77.80%,427,7.6,0,17,41.7,45,5.9,4,30.5,2,JoneTh00
43,Justin McCareins,NYJ,26,WR,2004,16,16,90,56,62.20%,770,13.8,4,43,56.7,43,8.6,3.5,48.1,3,McCaJu00
44,Johnnie Morton,KAN,33,WR,2004,13,12,79,55,69.60%,795,14.5,3,38,59.5,52,10.1,4.2,61.2,2,MortJo00
45,Dennis Northcutt,CLE,27,WR,2004,16,11,94,55,58.50%,806,14.7,2,25,40.4,58,8.6,3.4,50.4,2,NortDe00
46,Ashley Lelie,DEN,24,WR,2004,16,16,101,54,53.50%,1084,20.1,7,40,49.5,58,10.7,3.4,67.8,0,LeliAs00
47,Roy Williams,DET,23,WR,2004,14,12,118,54,45.80%,817,15.1,8,34,38.1,46,6.9,3.9,58.4,1,WillRo04
48,LaDainian Tomlinson*+,SDG,25,RB,2004,15,15,66,53,80.30%,441,8.3,1,16,40.9,74,6.7,3.5,29.4,6,TomlLa00
49,Tiki Barber*,NYG,29,RB,2004,16,14,79,52,65.80%,578,11.1,2,20,45.6,62,7.3,3.3,36.1,5,BarbTi00
50,Rod Gardner,WAS,27,WR,2004,16,14,106,51,48.10%,650,12.7,5,30,39.6,51,6.1,3.2,40.6,0,GardRo00
51,Edgerrin James*,IND,26,RB,2004,16,16,60,51,85.00%,483,9.5,0,20,56.7,56,8.1,3.2,30.2,6,JameEd00
52,Amani Toomer,NYG,30,WR,2004,15,14,107,51,47.70%,747,14.6,0,39,42.1,48,7,3.4,49.8,1,ToomAm00
53,Marty Booker,MIA,28,WR,2004,15,15,105,50,47.60%,638,12.8,1,30,39,45,6.1,3.3,42.5,0,BookMa00
54,Ronald Curry,OAK,25,WR,2004,12,3,70,50,71.40%,679,13.6,6,32,64.3,63,9.7,4.2,56.6,1,CurrRo01
55,Troy Edwards,JAX,27,WR,2004,16,4,80,50,62.50%,533,10.7,1,25,43.8,36,6.7,3.1,33.3,3,EdwaTr00
56,Marshall Faulk,STL,31,RB,2004,14,14,65,50,76.90%,310,6.2,1,12,40,25,4.8,3.6,22.1,2,FaulMa00
57,Ike Hilliard,NYG,28,WR,2004,16,15,81,49,60.50%,437,8.9,0,22,44.4,43,5.4,3.1,27.3,3,HillIk00
58,Bryant Johnson,ARI,23,WR,2004,16,11,102,49,48.00%,537,11,1,29,43.1,40,5.3,3.1,33.6,1,JohnBr02
59,Randy Moss,MIN,27,WR,2004,13,13,86,49,57.00%,767,15.7,13,43,54.7,82,8.9,3.8,59,1,MossRa00
